ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
UPWK,Upwork Inc.,2025-06-27 to 2025-07-24,17,0.08895039207795084,0.3864367814395866,0.3361841797828674,0.11939647793769834,0.17647058823529413,0.058823529411764705,2025-07-24 09:08:35
LFST, LIFESTANCE HEALTH GROUP,2025-06-27 to 2025-07-23,15,0.08488235791524253,0.638199058754964,-0.4793979406356812,0.08488235791524253,0.26666666666666666,0.13333333333333333,2025-07-23 17:25:15
EFX,Enerflex Ltd.,2025-06-27 to 2025-07-24,67,0.08356563902612943,0.5782956136711315,0.06630892428484829,0.08356563902612943,0.2537313432835821,0.19402985074626866,2025-07-24 15:05:00
AAPL,Apple Inc.,2025-07-18 to 2025-07-27,247,0.08234360920272857,0.490262771164023,0.06985688650089762,0.08234360920272857,0.1862348178137652,0.1700404858299595,2025-07-27 06:15:06
FSLR,First Solar Inc.,2025-06-27 to 2025-07-25,101,0.08024841694548579,0.6609933705416932,0.14979323607224682,0.08024841694548579,0.3564356435643564,0.27722772277227725,2025-07-25 16:24:00
DUOL,Duolingo Inc.,2025-06-28 to 2025-07-25,28,0.07361684313842229,0.43861857237771934,0.08875442445278166,0.07361684313842229,0.2857142857142857,0.21428571428571427,2025-07-25 15:00:04
GDEV,GDEV Inc.,2025-07-01 to 2025-07-15,5,0.0642071270942688,0.14357150082275358,,0.0642071270942688,0.0,0.0,2025-07-15 13:51:31
SPGI,S&P Global Inc.,2025-06-27 to 2025-07-25,77,0.06282534119370696,0.5800676359935909,0.06970550762979606,0.06365199041993994,0.2077922077922078,0.19480519480519481,2025-07-25 23:00:00
INSW,International Seaways Inc.,2025-06-27 to 2025-07-24,9,0.06230652862124973,0.19264656502662464,0.0,0.07009484469890595,0.2222222222222222,0.1111111111111111,2025-07-24 19:51:27
EVH,Evolent Health Inc.,2025-06-30 to 2025-07-23,14,0.05995406508445739,0.5303776404562193,0.2760412395000458,0.05995406508445739,0.07142857142857142,0.14285714285714285,2025-07-23 21:36:01
UAL,United Airlines Holdings Inc.,2025-06-27 to 2025-07-24,113,0.057157700937406145,0.6174775234425979,0.01619399935007096,0.057157700937406145,0.3185840707964602,0.2920353982300885,2025-07-24 14:10:23
LW,Lamb Weston Holdings Inc.,2025-06-29 to 2025-07-26,54,0.05365910375559771,0.5623211522388573,0.2684584581490719,0.05365910375559771,0.2962962962962963,0.24074074074074073,2025-07-26 08:45:34
DXCM,DexCom Inc.,2025-06-27 to 2025-07-24,34,0.05146881289341871,0.5293342610264569,0.22558418810367584,0.05146881289341871,0.23529411764705882,0.14705882352941177,2025-07-24 19:38:08
DHR,Danaher Corporation,2025-06-27 to 2025-07-25,71,0.05092906884744133,0.514715171041383,0.08487528256007604,0.044126668487276345,0.19718309859154928,0.18309859154929578,2025-07-25 15:50:02
ARCO,Arcos Dorados Holdings Inc.,2025-06-27 to 2025-07-24,5,0.04576285839080811,0.10232886220654358,0.0,0.04576285839080811,0.2,0.0,2025-07-24 10:20:00
FANG,DIAMONDBLACK ENERGY INC.,2025-06-29 to 2025-07-26,30,0.040477287769317624,0.509466327576446,0.19519581132464936,0.040477287769317624,0.16666666666666666,0.16666666666666666,2025-07-26 09:30:00
WELL,WELL Health Technologies Corp.,2025-06-28 to 2025-07-26,36,0.033927272094620604,0.5025341531159062,-0.006774287957411555,0.033927272094620604,0.19444444444444445,0.1111111111111111,2025-07-26 01:05:11
